cluster,cluster_description,cluster_weight,cluster_ef_sample,cluster_n_sample,cluster_count,cluster_desc_relative
0.0,5.95 <= petal_length <= 8.9 AND 3.05 <= petal_width <= 5.4 AND 4.75 <= sepal_length <= 7.9 AND 1.75 <= sepal_width <= 3.5,10.01764705882353,1.0,17.0,1.0,"petal_length = Percentile 100, petal_width = Percentile 100, sepal_length = Percentile 100, sepal_width = Percentile 100."
1.0,6.6 <= petal_length <= 8.9 AND 1.0 <= petal_width <= 3.15 AND 4.85 <= sepal_length <= 7.9 AND 1.75 <= sepal_width <= 3.5,10.013725490196078,1.0,13.0,1.0,"petal_length = Percentile 100, petal_width = Percentile 20, sepal_length = Percentile 100, sepal_width = Percentile 100."
2.0,4.95 <= petal_length <= 8.9 AND 1.0 <= petal_width <= 2.55 AND 0.0 <= sepal_length <= 4.75 AND 0.75 <= sepal_width <= 3.5,6.678431372549019,0.5,11.0,1.0,"petal_length = Percentile 100, petal_width = Percentile 20, sepal_length = Percentile 40, sepal_width = Percentile 100."
3.0,4.95 <= petal_length <= 8.9 AND 2.65 <= petal_width <= 2.85 AND 2.45 <= sepal_length <= 4.95 AND -0.9 <= sepal_width <= 1.65,6.677450980392156,0.5,10.0,1.0,"petal_length = Percentile 100, petal_width = Percentile 40, sepal_length = Percentile 40, sepal_width = Percentile 40."
4.0,3.3 <= petal_length <= 6.15 AND 1.0 <= petal_width <= 3.1 AND 2.45 <= sepal_length <= 7.9 AND 1.65 <= sepal_width <= 3.5,10.009803921568627,1.0,9.0,3.0,"petal_length = Percentile 20, petal_width = Percentile 20, sepal_length = Percentile 80, sepal_width = Percentile 100."
5.0,5.45 <= petal_length <= 8.9 AND 1.0 <= petal_width <= 2.9 AND 4.75 <= sepal_length <= 5.05 AND 1.6 <= sepal_width <= 3.5,10.005882352941176,1.0,5.0,3.0,"petal_length = Percentile 100, petal_width = Percentile 20, sepal_length = Percentile 80, sepal_width = Percentile 100."
6.0,5.45 <= petal_length <= 8.9 AND 1.0 <= petal_width <= 3.0 AND 2.6 <= sepal_length <= 4.95 AND 1.7 <= sepal_width <= 3.5,10.005882352941176,1.0,5.0,1.0,"petal_length = Percentile 100, petal_width = Percentile 20, sepal_length = Percentile 40, sepal_width = Percentile 100."
7.0,3.3 <= petal_length <= 6.05 AND 2.6 <= petal_width <= 5.4 AND 4.85 <= sepal_length <= 7.9 AND 1.7 <= sepal_width <= 3.5,10.005882352941176,1.0,5.0,1.0,"petal_length = Percentile 20, petal_width = Percentile 100, sepal_length = Percentile 100, sepal_width = Percentile 100."
8.0,5.05 <= petal_length <= 7.1 AND 1.0 <= petal_width <= 2.65 AND 2.45 <= sepal_length <= 7.9 AND 1.35 <= sepal_width <= 1.75,8.338235294117649,0.75,4.0,2.0,"petal_length = Percentile 60, petal_width = Percentile 20, sepal_length = Percentile 80, sepal_width = Percentile 80."
9.0,5.75 <= petal_length <= 8.9 AND 1.0 <= petal_width <= 2.65 AND 0.0 <= sepal_length <= 4.75 AND 0.75 <= sepal_width <= 1.75,6.67156862745098,0.5,4.0,1.0,"petal_length = Percentile 100, petal_width = Percentile 20, sepal_length = Percentile 40, sepal_width = Percentile 60."
10.0,5.45 <= petal_length <= 8.9 AND 2.75 <= petal_width <= 5.4 AND 4.95 <= sepal_length <= 7.9 AND -0.9 <= sepal_width <= 1.7,8.89281045751634,0.8333333333333334,3.0,2.0,"petal_length = Percentile 100, petal_width = Percentile 100, sepal_length = Percentile 100, sepal_width = Percentile 40."
11.0,4.95 <= petal_length <= 8.9 AND 2.65 <= petal_width <= 2.85 AND 2.45 <= sepal_length <= 4.95 AND 1.65 <= sepal_width <= 3.5,10.003921568627451,1.0,3.0,1.0,"petal_length = Percentile 100, petal_width = Percentile 40, sepal_length = Percentile 40, sepal_width = Percentile 100."
12.0,5.75 <= petal_length <= 8.9 AND 1.0 <= petal_width <= 2.65 AND 4.75 <= sepal_length <= 7.9 AND 0.75 <= sepal_width <= 1.75,8.89281045751634,0.8333333333333334,3.0,1.0,"petal_length = Percentile 100, petal_width = Percentile 20, sepal_length = Percentile 100, sepal_width = Percentile 60."
13.0,3.3 <= petal_length <= 6.2 AND 1.0 <= petal_width <= 2.75 AND 4.85 <= sepal_length <= 7.9 AND 0.8 <= sepal_width <= 1.55,10.00294117647059,1.0,2.0,4.0,"petal_length = Percentile 20, petal_width = Percentile 20, sepal_length = Percentile 100, sepal_width = Percentile 60."
14.0,3.3 <= petal_length <= 6.15 AND 1.0 <= petal_width <= 3.1 AND 2.6 <= sepal_length <= 4.85 AND 1.65 <= sepal_width <= 3.5,10.00294117647059,1.0,2.0,1.0,"petal_length = Percentile 20, petal_width = Percentile 20, sepal_length = Percentile 40, sepal_width = Percentile 100."
15.0,3.3 <= petal_length <= 4.95 AND 1.0 <= petal_width <= 2.55 AND 0.0 <= sepal_length <= 4.75 AND 0.75 <= sepal_width <= 3.5,8.336274509803923,0.75,2.0,1.0,"petal_length = Percentile 20, petal_width = Percentile 20, sepal_length = Percentile 40, sepal_width = Percentile 100."
16.0,5.75 <= petal_length <= 7.1 AND 2.65 <= petal_width <= 5.4 AND 5.05 <= sepal_length <= 7.9 AND 0.75 <= sepal_width <= 1.75,8.336274509803923,0.75,2.0,1.0,"petal_length = Percentile 80, petal_width = Percentile 100, sepal_length = Percentile 100, sepal_width = Percentile 60."
17.0,6.6 <= petal_length <= 8.9 AND 1.0 <= petal_width <= 3.15 AND 5.4 <= sepal_length <= 7.9 AND -0.9 <= sepal_width <= 1.75,10.001960784313725,1.0,1.0,3.0,"petal_length = Percentile 100, petal_width = Percentile 20, sepal_length = Percentile 100, sepal_width = Percentile 40."
18.0,3.3 <= petal_length <= 7.05 AND 2.75 <= petal_width <= 5.4 AND 5.05 <= sepal_length <= 7.9 AND -0.9 <= sepal_width <= 1.75,10.001960784313725,1.0,1.0,2.0,"petal_length = Percentile 40, petal_width = Percentile 100, sepal_length = Percentile 100, sepal_width = Percentile 40."
19.0,3.3 <= petal_length <= 5.95 AND 1.0 <= petal_width <= 3.1 AND 4.75 <= sepal_length <= 7.9 AND 1.75 <= sepal_width <= 1.85,10.001960784313725,1.0,1.0,1.0,"petal_length = Percentile 20, petal_width = Percentile 20, sepal_length = Percentile 100, sepal_width = Percentile 80."
20.0,5.95 <= petal_length <= 8.9 AND 2.95 <= petal_width <= 5.4 AND 2.6 <= sepal_length <= 4.85 AND 1.7 <= sepal_width <= 3.5,10.001960784313725,1.0,1.0,1.0,"petal_length = Percentile 100, petal_width = Percentile 100, sepal_length = Percentile 40, sepal_width = Percentile 100."
21.0,3.3 <= petal_length <= 4.95 AND 2.45 <= petal_width <= 5.4 AND 2.5 <= sepal_length <= 7.9 AND -0.9 <= sepal_width <= 1.75,10.001960784313725,1.0,1.0,1.0,"petal_length = Percentile 20, petal_width = Percentile 100, sepal_length = Percentile 80, sepal_width = Percentile 40."
22.0,5.45 <= petal_length <= 6.6 AND 2.65 <= petal_width <= 5.4 AND 4.75 <= sepal_length <= 7.9 AND -0.9 <= sepal_width <= 1.55,10.001960784313725,1.0,1.0,1.0,"petal_length = Percentile 60, petal_width = Percentile 100, sepal_length = Percentile 100, sepal_width = Percentile 40."
23.0,3.3 <= petal_length <= 6.15 AND 1.0 <= petal_width <= 2.55 AND 4.85 <= sepal_length <= 7.9 AND -0.9 <= sepal_width <= 1.55,10.001960784313725,1.0,1.0,1.0,"petal_length = Percentile 20, petal_width = Percentile 20, sepal_length = Percentile 100, sepal_width = Percentile 40."
24.0,6.15 <= petal_length <= 8.9 AND 1.0 <= petal_width <= 2.9 AND 4.95 <= sepal_length <= 5.35 AND -0.9 <= sepal_width <= 1.75,10.001960784313725,1.0,1.0,1.0,"petal_length = Percentile 100, petal_width = Percentile 20, sepal_length = Percentile 80, sepal_width = Percentile 40."
25.0,3.3 <= petal_length <= 6.5 AND 1.0 <= petal_width <= 2.35 AND 4.85 <= sepal_length <= 5.05 AND -0.9 <= sepal_width <= 1.65,10.001960784313725,1.0,1.0,1.0,"petal_length = Percentile 20, petal_width = Percentile 20, sepal_length = Percentile 80, sepal_width = Percentile 40."
26.0,6.15 <= petal_length <= 8.9 AND 2.9 <= petal_width <= 5.4 AND 4.95 <= sepal_length <= 5.35 AND -0.9 <= sepal_width <= 1.75,6.668627450980392,0.5,1.0,1.0,"petal_length = Percentile 100, petal_width = Percentile 100, sepal_length = Percentile 80, sepal_width = Percentile 40."
27.0,5.75 <= petal_length <= 8.9 AND 4.75 <= sepal_length <= 7.9 AND 1.55 <= sepal_width <= 3.5,9.834292866082603,0.9680851063829787,47.0,11.0,"petal_length = Percentile 100, sepal_length = Percentile 100, sepal_width = Percentile 100."
28.0,4.95 <= petal_length <= 7.1 AND 2.5 <= sepal_length <= 4.95 AND -0.9 <= sepal_width <= 1.75,6.712745098039215,0.5,46.0,1.0,"petal_length = Percentile 60, sepal_length = Percentile 40, sepal_width = Percentile 40."
29.0,5.45 <= petal_length <= 8.9 AND 0.0 <= sepal_length <= 5.25 AND 0.6 <= sepal_width <= 1.55,6.870444763271163,0.524390243902439,41.0,2.0,"petal_length = Percentile 100, sepal_length = Percentile 40, sepal_width = Percentile 40."
30.0,5.95 <= petal_length <= 8.9 AND 2.5 <= sepal_length <= 7.9 AND 1.75 <= sepal_width <= 3.5,10.03921568627451,1.0,39.0,5.0,"petal_length = Percentile 100, sepal_length = Percentile 80, sepal_width = Percentile 100."
31.0,6.15 <= petal_length <= 7.1 AND 2.6 <= sepal_length <= 7.9 AND -0.9 <= sepal_width <= 1.75,6.880392156862744,0.5294117647058824,17.0,1.0,"petal_length = Percentile 100, sepal_length = Percentile 80, sepal_width = Percentile 40."
32.0,3.3 <= petal_length <= 6.25 AND 4.85 <= sepal_length <= 7.9 AND 0.8 <= sepal_width <= 3.5,9.70873440285205,0.9545454545454546,11.0,7.0,"petal_length = Percentile 20, sepal_length = Percentile 100, sepal_width = Percentile 100."
