cluster,cluster_description,cluster_weight,cluster_ef_sample,cluster_n_sample,cluster_count,cluster_desc_relative
0.0,0.5 <= bool__adult_male_0 <= 2.0 AND -1.0 <= cat__deck_B <= 0.5 AND -1.0 <= cat__embarked_C <= 0.5 AND 0.32207 <= num__fare <= 10.667166525013505,9.48719772403983,0.8947368421052632,19.0,1.0,"bool__adult_male_0 = Percentile 100, cat__deck_B = Percentile 20, cat__embarked_C = Percentile 20, num__fare = Percentile 100."
1.0,0.5 <= bool__adult_male_0 <= 2.0 AND 0.5 <= cat__deck_B <= 2.0 AND -1.0 <= cat__embarked_C <= 0.5 AND 0.32207 <= num__fare <= 10.667166525013505,10.006756756756756,1.0,9.0,1.0,"bool__adult_male_0 = Percentile 100, cat__deck_B = Percentile 100, cat__embarked_C = Percentile 20, num__fare = Percentile 100."
2.0,-0.437385 <= num__fare <= 10.667166525013505 AND -1.0 <= cat__embark_town_Cherbourg <= 0.5 AND -1.0 <= cat__sex_male <= 0.5 AND -1.833759 <= num__age <= 4.891554451560014 AND -1.4736736092984604 <= num__parch <= 0.146978 AND -2.566106925889158 <= num__pclass <= 0.229006,9.43381595881596,0.8809523809523809,42.0,1.0,"num__fare = Percentile 100, cat__embark_town_Cherbourg = Percentile 20, cat__sex_male = Percentile 20, num__age = Percentile 100, num__parch = Percentile 20, num__pclass = Percentile 40."
3.0,-0.437385 <= num__fare <= 10.667166525013505 AND -1.0 <= cat__embark_town_Cherbourg <= 0.5 AND -1.0 <= cat__sex_male <= 0.5 AND -1.833759 <= num__age <= 4.891554451560014 AND 0.146978 <= num__parch <= 7.974147318082627 AND -2.566106925889158 <= num__pclass <= 0.229006,9.82593555093555,0.9615384615384616,26.0,1.0,"num__fare = Percentile 100, cat__embark_town_Cherbourg = Percentile 20, cat__sex_male = Percentile 20, num__age = Percentile 100, num__parch = Percentile 100, num__pclass = Percentile 40."
4.0,-1.0 <= bool__adult_male_0 <= 0.5 AND -2.566106925889158 <= num__pclass <= 0.229006 AND 0.5 <= bool__alone_0 <= 2.0 AND -1.0 <= cat__deck_C <= 0.5 AND -1.0 <= cat__deck_D <= 0.5,8.340090090090088,0.6666666666666666,9.0,1.0,"bool__adult_male_0 = Percentile 20, num__pclass = Percentile 40, bool__alone_0 = Percentile 100, cat__deck_C = Percentile 20, cat__deck_D = Percentile 20."
5.0,-1.0 <= bool__alone_0 <= 0.5 AND 0.5 <= cat__class_Second <= 2.0 AND 0.5 <= cat__sex_female <= 2.0,9.264189189189189,0.85,20.0,1.0,"bool__alone_0 = Percentile 20, cat__class_Second = Percentile 100, cat__sex_female = Percentile 100."
6.0,-3.224156079948338 <= num__age <= -2.025883 AND 0.5 <= bool__alone_0 <= 2.0 AND -1.0 <= cat__sex_female <= 0.5,9.007432432432434,0.8000000000000002,10.0,1.0,"num__age = Percentile 20, bool__alone_0 = Percentile 100, cat__sex_female = Percentile 20."
7.0,-0.437385 <= num__fare <= 10.667166525013505 AND 0.5 <= cat__embark_town_Cherbourg <= 2.0 AND -1.0 <= cat__sex_male <= 0.5 AND -2.566106925889158 <= num__pclass <= 0.229006,10.018243243243242,1.0,26.0,1.0,"num__fare = Percentile 100, cat__embark_town_Cherbourg = Percentile 100, cat__sex_male = Percentile 20, num__pclass = Percentile 40."
8.0,0.5 <= bool__adult_male_0 <= 2.0 AND -1.6484216535389205 <= num__fare <= -0.381637 AND 0.5 <= cat__class_Second <= 2.0 AND 0.5 <= cat__embarked_S <= 2.0 AND -1.4745451962498395 <= num__sibsp <= -0.020876,8.938706563706562,0.7857142857142857,14.0,1.0,"bool__adult_male_0 = Percentile 100, num__fare = Percentile 20, cat__class_Second = Percentile 100, cat__embarked_S = Percentile 100, num__sibsp = Percentile 20."
9.0,0.5 <= bool__adult_male_0 <= 2.0 AND -0.381637 <= num__fare <= 0.32207 AND 0.5 <= cat__class_Second <= 2.0 AND 0.5 <= cat__embarked_S <= 2.0 AND -1.4745451962498395 <= num__sibsp <= -0.020876,10.008108108108107,1.0,11.0,1.0,"bool__adult_male_0 = Percentile 100, num__fare = Percentile 80, cat__class_Second = Percentile 100, cat__embarked_S = Percentile 100, num__sibsp = Percentile 20."
