cluster_1,cluster_2,similarity,delta_cluster_ef_sample,score
293.0,384.0,0.138,0.167,0.112
293.0,13.0,0.103,0.429,0.102
78.0,60.0,0.103,0.442,0.102
230.0,387.0,0.103,0.331,0.1
48.0,101.0,0.103,0.289,0.098
374.0,387.0,0.103,0.3,0.098
387.0,384.0,0.103,0.258,0.096
13.0,384.0,0.103,0.262,0.096
95.0,96.0,0.078,0.363,0.075
212.0,387.0,0.069,0.425,0.068
293.0,48.0,0.069,0.432,0.068
387.0,156.0,0.069,0.425,0.068
95.0,13.0,0.069,0.387,0.068
181.0,60.0,0.069,0.442,0.068
96.0,156.0,0.069,0.404,0.068
293.0,387.0,0.069,0.425,0.068
60.0,381.0,0.069,0.442,0.068
360.0,424.0,0.069,0.377,0.067
230.0,48.0,0.069,0.338,0.067
230.0,13.0,0.069,0.335,0.067
95.0,387.0,0.069,0.384,0.067
360.0,13.0,0.069,0.366,0.067
29.0,13.0,0.069,0.347,0.067
29.0,424.0,0.069,0.357,0.067
48.0,189.0,0.069,0.341,0.067
387.0,89.0,0.069,0.322,0.066
2.0,424.0,0.069,0.32,0.066
424.0,323.0,0.069,0.317,0.066
323.0,215.0,0.069,0.283,0.065
101.0,387.0,0.069,0.282,0.065
48.0,384.0,0.069,0.265,0.064
96.0,384.0,0.069,0.238,0.062
210.0,48.0,0.06,0.388,0.059
13.0,156.0,0.06,0.429,0.059
29.0,384.0,0.103,0.085,0.059
210.0,387.0,0.06,0.382,0.059
29.0,293.0,0.103,0.082,0.058
212.0,374.0,0.069,0.125,0.049
95.0,384.0,0.069,0.126,0.049
192.0,78.0,0.069,0.122,0.049
374.0,156.0,0.069,0.125,0.049
212.0,2.0,0.069,0.119,0.048
293.0,2.0,0.069,0.119,0.048
78.0,323.0,0.069,0.122,0.048
181.0,323.0,0.069,0.122,0.048
276.0,323.0,0.069,0.122,0.048
95.0,89.0,0.103,0.061,0.047
293.0,89.0,0.069,0.103,0.044
212.0,89.0,0.069,0.103,0.044
156.0,89.0,0.069,0.103,0.044
210.0,101.0,0.069,0.099,0.043
95.0,156.0,0.129,0.041,0.043
210.0,424.0,0.043,0.396,0.042
183.0,60.0,0.043,0.37,0.042
323.0,156.0,0.06,0.122,0.042
96.0,181.0,0.043,0.404,0.042
230.0,293.0,0.069,0.094,0.042
95.0,2.0,0.078,0.078,0.042
13.0,255.0,0.043,0.34,0.042
230.0,156.0,0.069,0.094,0.042
294.0,189.0,0.069,0.091,0.041
2.0,13.0,0.043,0.31,0.041
210.0,2.0,0.078,0.076,0.041
78.0,189.0,0.069,0.091,0.041
96.0,323.0,0.043,0.282,0.041
95.0,374.0,0.069,0.084,0.039
393.0,89.0,0.069,0.083,0.039
393.0,391.0,0.069,0.084,0.039
95.0,323.0,0.069,0.081,0.038
381.0,218.0,0.069,0.081,0.038
220.0,275.0,0.069,0.081,0.038
210.0,189.0,0.095,0.047,0.036
230.0,384.0,0.069,0.073,0.036
183.0,101.0,0.069,0.071,0.035
183.0,276.0,0.069,0.071,0.035
230.0,64.0,0.034,0.421,0.034
95.0,64.0,0.034,0.474,0.034
212.0,64.0,0.034,0.515,0.034
210.0,64.0,0.034,0.472,0.034
181.0,215.0,0.034,0.405,0.034
179.0,60.0,0.034,0.442,0.034
179.0,424.0,0.034,0.439,0.034
381.0,64.0,0.034,0.515,0.034
393.0,60.0,0.034,0.422,0.034
387.0,381.0,0.034,0.425,0.034
179.0,387.0,0.034,0.425,0.034
181.0,424.0,0.034,0.439,0.034
179.0,215.0,0.034,0.405,0.034
181.0,13.0,0.034,0.429,0.034
48.0,156.0,0.034,0.432,0.034
96.0,275.0,0.034,0.376,0.034
78.0,13.0,0.034,0.429,0.034
360.0,60.0,0.034,0.379,0.034
156.0,215.0,0.034,0.405,0.034
95.0,220.0,0.069,0.068,0.034
78.0,64.0,0.034,0.515,0.034
393.0,64.0,0.034,0.495,0.034
276.0,60.0,0.034,0.442,0.034
95.0,215.0,0.034,0.364,0.034
2.0,64.0,0.034,0.396,0.034
156.0,64.0,0.034,0.515,0.034
13.0,381.0,0.034,0.429,0.034
255.0,64.0,0.034,0.427,0.034
276.0,424.0,0.034,0.439,0.034
275.0,64.0,0.034,0.487,0.034
293.0,96.0,0.034,0.404,0.034
212.0,60.0,0.034,0.442,0.034
215.0,275.0,0.034,0.378,0.034
294.0,13.0,0.034,0.429,0.034
218.0,64.0,0.034,0.434,0.034
276.0,215.0,0.034,0.405,0.034
95.0,424.0,0.034,0.398,0.034
424.0,275.0,0.034,0.411,0.034
424.0,120.0,0.034,0.385,0.034
183.0,424.0,0.034,0.368,0.034
96.0,179.0,0.034,0.404,0.034
276.0,387.0,0.034,0.425,0.034
96.0,276.0,0.034,0.404,0.034
95.0,48.0,0.034,0.391,0.034
293.0,424.0,0.034,0.439,0.034
183.0,48.0,0.034,0.36,0.034
95.0,60.0,0.034,0.401,0.034
60.0,218.0,0.034,0.361,0.034
294.0,60.0,0.034,0.442,0.034
374.0,64.0,0.034,0.39,0.034
181.0,64.0,0.034,0.515,0.034
48.0,294.0,0.034,0.432,0.034
294.0,424.0,0.034,0.439,0.034
424.0,156.0,0.034,0.439,0.034
89.0,64.0,0.034,0.413,0.034
424.0,255.0,0.034,0.351,0.033
424.0,189.0,0.034,0.348,0.033
220.0,387.0,0.034,0.316,0.033
183.0,96.0,0.034,0.333,0.033
220.0,96.0,0.034,0.295,0.033
183.0,387.0,0.034,0.354,0.033
220.0,424.0,0.034,0.33,0.033
13.0,189.0,0.034,0.338,0.033
29.0,48.0,0.034,0.35,0.033
387.0,218.0,0.034,0.344,0.033
101.0,424.0,0.034,0.296,0.033
387.0,255.0,0.034,0.337,0.033
424.0,89.0,0.034,0.336,0.033
29.0,387.0,0.034,0.343,0.033
220.0,215.0,0.034,0.296,0.033
323.0,387.0,0.034,0.303,0.033
387.0,189.0,0.034,0.334,0.033
60.0,189.0,0.034,0.351,0.033
13.0,89.0,0.034,0.326,0.033
374.0,48.0,0.034,0.307,0.033
89.0,384.0,0.069,0.064,0.033
374.0,13.0,0.034,0.304,0.033
192.0,60.0,0.034,0.319,0.033
60.0,323.0,0.034,0.32,0.033
391.0,60.0,0.034,0.338,0.033
391.0,13.0,0.034,0.324,0.033
391.0,424.0,0.034,0.335,0.033
215.0,120.0,0.034,0.351,0.033
71.0,387.0,0.034,0.338,0.033
71.0,424.0,0.034,0.352,0.033
71.0,13.0,0.034,0.342,0.033
96.0,89.0,0.034,0.302,0.033
96.0,120.0,0.034,0.35,0.033
71.0,48.0,0.034,0.345,0.033
96.0,255.0,0.034,0.316,0.033
48.0,2.0,0.034,0.313,0.033
48.0,89.0,0.034,0.329,0.033
374.0,60.0,0.034,0.317,0.033
60.0,72.0,0.034,0.288,0.033
360.0,96.0,0.034,0.342,0.033
360.0,215.0,0.034,0.343,0.033
13.0,323.0,0.034,0.307,0.033
2.0,387.0,0.034,0.306,0.033
230.0,96.0,0.034,0.311,0.033
387.0,72.0,0.034,0.271,0.032
13.0,101.0,0.034,0.286,0.032
424.0,384.0,0.034,0.272,0.032
96.0,101.0,0.034,0.261,0.032
360.0,276.0,0.069,0.062,0.032
2.0,215.0,0.034,0.286,0.032
96.0,2.0,0.034,0.285,0.032
192.0,96.0,0.034,0.282,0.032
374.0,96.0,0.034,0.279,0.032
360.0,323.0,0.069,0.059,0.031
192.0,360.0,0.069,0.06,0.031
2.0,381.0,0.043,0.119,0.03
294.0,2.0,0.043,0.119,0.03
220.0,384.0,0.069,0.058,0.03
323.0,120.0,0.06,0.068,0.03
220.0,120.0,0.069,0.055,0.029
156.0,120.0,0.069,0.054,0.029
95.0,230.0,0.069,0.053,0.028
156.0,384.0,0.034,0.167,0.028
374.0,89.0,0.138,0.022,0.028
101.0,189.0,0.069,0.052,0.028
210.0,255.0,0.078,0.045,0.028
212.0,384.0,0.034,0.167,0.028
212.0,72.0,0.034,0.154,0.027
210.0,230.0,0.069,0.05,0.027
230.0,101.0,0.069,0.049,0.027
276.0,72.0,0.034,0.154,0.027
179.0,72.0,0.034,0.154,0.027
2.0,255.0,0.103,0.031,0.027
78.0,101.0,0.034,0.143,0.026
276.0,101.0,0.034,0.143,0.026
294.0,101.0,0.034,0.143,0.026
275.0,384.0,0.034,0.139,0.026
183.0,2.0,0.069,0.048,0.026
2.0,384.0,0.069,0.048,0.026
393.0,384.0,0.034,0.147,0.026
60.0,156.0,0.026,0.442,0.026
293.0,101.0,0.034,0.143,0.026
101.0,156.0,0.034,0.143,0.026
374.0,293.0,0.034,0.125,0.025
60.0,120.0,0.026,0.388,0.025
181.0,120.0,0.06,0.054,0.025
78.0,255.0,0.043,0.088,0.025
13.0,120.0,0.026,0.375,0.025
374.0,276.0,0.034,0.125,0.025
374.0,179.0,0.034,0.125,0.025
374.0,381.0,0.034,0.125,0.025
381.0,255.0,0.043,0.088,0.025
192.0,381.0,0.034,0.122,0.024
192.0,276.0,0.034,0.122,0.024
179.0,323.0,0.034,0.122,0.024
2.0,156.0,0.034,0.119,0.024
323.0,381.0,0.034,0.122,0.024
294.0,323.0,0.034,0.122,0.024
220.0,181.0,0.034,0.109,0.023
220.0,156.0,0.034,0.109,0.023
95.0,212.0,0.069,0.041,0.023
95.0,381.0,0.069,0.041,0.023
120.0,384.0,0.034,0.113,0.023
220.0,293.0,0.034,0.109,0.023
220.0,212.0,0.034,0.109,0.023
95.0,181.0,0.069,0.041,0.023
220.0,276.0,0.034,0.109,0.023
95.0,293.0,0.069,0.041,0.023
220.0,179.0,0.034,0.109,0.023
183.0,294.0,0.043,0.071,0.022
381.0,89.0,0.034,0.103,0.022
183.0,78.0,0.043,0.071,0.022
393.0,374.0,0.034,0.105,0.022
212.0,391.0,0.034,0.104,0.022
391.0,293.0,0.034,0.104,0.022
360.0,384.0,0.034,0.104,0.022
393.0,2.0,0.034,0.099,0.022
95.0,101.0,0.034,0.102,0.022
72.0,120.0,0.034,0.1,0.022
381.0,189.0,0.034,0.091,0.021
29.0,2.0,0.069,0.037,0.021
230.0,78.0,0.034,0.094,0.021
230.0,381.0,0.034,0.094,0.021
230.0,212.0,0.034,0.094,0.021
181.0,189.0,0.034,0.091,0.021
374.0,255.0,0.069,0.037,0.021
276.0,189.0,0.034,0.091,0.021
323.0,275.0,0.034,0.094,0.021
230.0,276.0,0.034,0.094,0.021
2.0,275.0,0.034,0.091,0.021
71.0,293.0,0.034,0.087,0.02
71.0,276.0,0.034,0.087,0.02
156.0,255.0,0.034,0.088,0.02
71.0,323.0,0.069,0.035,0.02
96.0,424.0,0.069,0.035,0.02
293.0,255.0,0.034,0.088,0.02
