algorithm,purity,macro_f1,weighted_f1,accuracy,homogeneity,completeness,v_measure,nmi,ami,ari,fowlkes_mallows,bcubed_precision,bcubed_recall,bcubed_f1,divergence,runtime,params,method,dataset
iris_select_clusters_cfg1,0.9,0.6446886446886447,0.634065934065934,0.65,0.8257823716367597,0.5947733286466527,0.6914946451140687,0.6914946451140688,0.6130902523500062,0.4986072423398329,0.6314801566485462,0.8666666666666666,0.6000000000000001,0.7090909090909091,0.565,3.9739246368408203,"{'random_state': 42, 'n_estimators': 5, 'max_depth': 2}",select_clusters,iris
iris_balance_lists_n_clusters_cfg1,0.9,0.9047619047619048,0.9,0.9,0.7380804852483969,0.7380804852483969,0.7380804852483968,0.7380804852483969,0.7054075215588277,0.6992481203007519,0.7894736842105264,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.565,0.5630059242248535,"{'random_state': 42, 'n_estimators': 5, 'max_depth': 2}",balance_lists_n_clusters,iris
iris_max_prob_clusters_cfg1,0.65,0.5555555555555555,0.5333333333333333,0.65,0.5573237028426872,0.9999999999999992,0.7157454828759965,0.7157454828759965,0.6943114891879795,0.5070422535211268,0.7333047450116519,0.65,1.0,0.787878787878788,0.42000000000000004,0.26904892921447754,"{'random_state': 42, 'n_estimators': 5, 'max_depth': 2}",max_prob_clusters,iris
iris_match_class_distribution_cfg1,0.65,0.5555555555555555,0.5333333333333333,0.65,0.5573237028426872,0.9999999999999992,0.7157454828759965,0.7157454828759965,0.6943114891879795,0.5070422535211268,0.7333047450116519,0.65,1.0,0.787878787878788,0.42000000000000004,0.15390634536743164,"{'random_state': 42, 'n_estimators': 5, 'max_depth': 2}",match_class_distribution,iris
iris_chimera_cfg1,0.7,0.7083333333333334,0.69375,0.7,0.5644559290918992,0.5797818778616318,0.5720162654131283,0.5720162654131283,0.5169069281887954,0.4103194103194103,0.5935614662907045,0.6577777777777778,0.6857142857142857,0.6714555765595464,0.42000000000000004,0.1598520278930664,"{'random_state': 42, 'n_estimators': 5, 'max_depth': 2}",chimera,iris
iris_menu_cfg1,0.65,0.5555555555555555,0.5333333333333333,0.65,0.5573237028426872,0.9999999999999992,0.7157454828759965,0.7157454828759965,0.6943114891879795,0.5070422535211268,0.7333047450116519,0.65,1.0,0.787878787878788,0.42000000000000004,0.16123723983764648,"{'random_state': 42, 'n_estimators': 5, 'max_depth': 2}",menu,iris
iris_select_clusters_cfg2,0.9,0.7384615384615385,0.7253846153846154,0.65,0.8257823716367597,0.5947733286466527,0.6914946451140687,0.6914946451140688,0.6130902523500062,0.4986072423398329,0.6314801566485462,0.8666666666666666,0.6000000000000001,0.7090909090909091,0.565,0.2234029769897461,"{'random_state': 42, 'n_estimators': 10, 'max_depth': 4}",select_clusters,iris
iris_balance_lists_n_clusters_cfg2,0.9,0.9047619047619048,0.9,0.9,0.7380804852483969,0.7380804852483969,0.7380804852483968,0.7380804852483969,0.7054075215588277,0.6992481203007519,0.7894736842105264,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.565,0.6493175029754639,"{'random_state': 42, 'n_estimators': 10, 'max_depth': 4}",balance_lists_n_clusters,iris
iris_max_prob_clusters_cfg2,0.65,0.5555555555555555,0.5333333333333333,0.65,0.5573237028426872,0.9999999999999992,0.7157454828759965,0.7157454828759965,0.6943114891879795,0.5070422535211268,0.7333047450116519,0.65,1.0,0.787878787878788,0.42000000000000004,0.4616694450378418,"{'random_state': 42, 'n_estimators': 10, 'max_depth': 4}",max_prob_clusters,iris
iris_match_class_distribution_cfg2,0.65,0.5555555555555555,0.5333333333333333,0.65,0.5573237028426872,0.9999999999999992,0.7157454828759965,0.7157454828759965,0.6943114891879795,0.5070422535211268,0.7333047450116519,0.65,1.0,0.787878787878788,0.42000000000000004,0.22526192665100098,"{'random_state': 42, 'n_estimators': 10, 'max_depth': 4}",match_class_distribution,iris
iris_chimera_cfg2,0.7,0.7083333333333334,0.69375,0.7,0.5644559290918992,0.5797818778616318,0.5720162654131283,0.5720162654131283,0.5169069281887954,0.4103194103194103,0.5935614662907045,0.6577777777777778,0.6857142857142857,0.6714555765595464,0.42000000000000004,0.24814248085021973,"{'random_state': 42, 'n_estimators': 10, 'max_depth': 4}",chimera,iris
iris_menu_cfg2,0.65,0.5555555555555555,0.5333333333333333,0.65,0.5573237028426872,0.9999999999999992,0.7157454828759965,0.7157454828759965,0.6943114891879795,0.5070422535211268,0.7333047450116519,0.65,1.0,0.787878787878788,0.42000000000000004,0.2537360191345215,"{'random_state': 42, 'n_estimators': 10, 'max_depth': 4}",menu,iris
